CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170323080, 3/23/17,Th,13:23,13,Day,2309,LAR,LY,595 W 54TH ST #29,SAVANNAH,5370D,Fairgrounds/Feiler Park,03,32,"LARCENY,FROM YARDS"
170319106, 3/19/17,Su,13:39,13,Day,2317,LAR,LY,140 BRANDYWINE RD,SAVANNAH,4450B,Abercorn Heights/Lamara Heights,03,34,"LARCENY,BICYCLE"
170324045, 3/24/17,Fr,09:14,09,Day,2404,AT,AT,1601 OTT ST,SAVANNAH,3242B,Midtown,03,35,AUTO THEFT
170319031, 3/19/17,Su,03:42,03,Midnight,2404,AT,AT,214 W 44TH ST,SAVANNAH,5290A,Bingville,03,37,AUTO THEFT
170319058, 3/19/17,Su,08:03,08,Day,2404,AT,AT,"216 W 59TH ST, SAV",Savannah,5302B,Dittmerville,03,34,AUTO THEFT
170319085, 3/19/17,Su,11:30,11,Day,2404,AT,AT,813 W 47TH ST #B,Savannah,5310A,Jackson Park,03,31,AUTO THEFT
170325136, 3/25/17,Sa,18:09,18,Afternoon,2404,AT,AT,"407 W 35TH ST, SAV",SAVANNAH,5241A,Metropolitan,03,33,AUTO THEFT
170325006, 3/25/17,Sa,00:34,00,Midnight,2404,AT,AT,2210 BULL ST,SAVANNAH,4221B,Thomas Square,03,33,AUTO THEFT
170325027, 3/25/17,Sa,04:51,04,Midnight,2404,AT,AT,4202 MONTGOMERY ST,SAVANNAH,5302B,Dittmerville,03,34,AUTO THEFT
170319128, 3/19/17,Su,17:08,17,Afternoon,1115,,,626 WINDSOR RD,SAVANNAH,5736B,Armstrong-Atlantic,04,44,SODMY FEMALE
170325083, 3/25/17,Sa,12:46,12,Day,1302,AGG-D,NO GUN,8102 WATERS AVE,SAVANNAH,4664X,Skyland Terrace/Grove Park,04,43,"AGG ASSAULT, FAMILY OTH W"
170322022, 3/22/17,We,02:52,02,Midnight,1304,AGG,GUN,10614 ABERCORN ST #362,SAVANNAH,5712B,Southside Apartment Row,04,44,"AGG ASSAULT,NON-DOM,GUN,N"
170319112, 3/19/17,Su,13:43,13,Day,1301,AGG-D,GUN,4 BUNDY PARK,Savannah,4416X,Memorial/Fairfield,05,52,"AGG ASSAULT,DOM,GUN,NO IN"
170319100, 3/19/17,Su,12:39,12,Day,1315,AGG,NO GUN,11010 MIDDLEGROUND RD #14,Savannah,5701B,Wilshire South,04,43,AGGRAVATED  BATTERY
170324165, 3/24/17,Fr,19:20,19,Afternoon,2202,BURG,RB,317 BRIARCLIFF CIR,SAVANNAH,5731A,Windsor Forest,04,44,"BURG,FORCED RESIDENC"
170324135, 3/24/17,Fr,16:52,16,Afternoon,2303,LAR,SHPL,"8914 WHITE BLUFF RD, SAV",SAVANNAH,4763A,Oakhurst,04,43,"LARCENY,SHOPLIFTING"
170324157, 3/24/17,Fr,18:12,18,Afternoon,2303,LAR,SHPL,8473 WATERS AVE,SAVANNAH,4665B,Skyland Terrace/Grove Park,04,43,"LARCENY,SHOPLIFTING"
170324108, 3/24/17,Fr,14:26,14,Day,2303,LAR,SHPL,7804 ABERCORN ST,SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
170325109, 3/25/17,Sa,15:26,15,Day,2303,LAR,SHPL,"7804 ABERCORN ST, SAV",SAVANNAH,4463X,Oglethorpe Mall,04,43,"LARCENY,SHOPLIFTING"
